min_support:10
Frequent Pattern,Support
{'2933'},20
{'154'},20
{'720'},20
{'124'},20
{'668'},20
{'1484'},20
{'2896'},20
{'361'},20
{'2466'},20
{'50'},20
{'2869'},19
{'2260'},19
{'21'},19
{'744'},19
{'3268'},19
{'2164'},19
{'3411'},19
{'2247'},19
{'2937'},19
{'2903'},19
{'3273'},19
{'1837'},19
{'2669'},19
{'2541'},19
{'2625'},19
{'3390'},19
{'1461'},19
{'2596'},19
{'3949'},19
{'1628'},19
{'3421'},19
{'3381'},19
{'1217'},19
{'2145'},19
{'1114'},19
{'2853'},19
{'1982'},19
{'155'},19
{'1498'},19
{'2810'},19
{'3304'},19
{'610'},19
{'1581'},19
{'2430'},19
{'2069'},19
{'3013'},19
{'3259'},19
{'3147'},18
{'648'},18
{'3054'},18
{'543'},18
{'3371'},18
{'1318'},18
{'799'},18
{'2476'},18
{'2383'},18
{'1228'},18
{'2275'},18
{'420'},18
{'961'},18
{'176'},18
{'3815'},18
{'1755'},18
{'1289'},18
{'116'},18
{'1361'},18
{'3524'},18
{'2141'},18
{'219'},18
{'1351'},18
{'1501'},18
{'2194'},18
{'1584'},18
{'2638'},18
{'1944'},18
{'622'},18
{'601'},18
{'1384'},18
{'1871'},18
{'2987'},18
{'670'},18
{'1878'},18
{'3216'},18
{'86'},18
{'1659'},18
{'3435'},18
{'1232'},18
{'3684'},18
{'619'},18
{'3478'},18
{'11'},18
{'2617'},18
{'442'},18
{'2364'},18
{'3546'},18
{'3911'},18
{'1279'},18
{'2548'},17
{'1349'},17
{'1524'},17
{'3492'},17
{'1888'},17
{'2009'},17
{'217'},17
{'2886'},17
{'3254'},17
{'2098'},17
{'3140'},17
{'2608'},17
{'1822'},17
{'26'},17
{'201'},17
{'1853'},17
{'1526'},17
{'2424'},17
{'855'},17
{'2953'},17
{'832'},17
{'2915'},17
{'1716'},17
{'3615'},17
{'675'},17
{'876'},17
{'1740'},17
{'2085'},17
{'1993'},17
{'2593'},17
{'1160'},17
{'419'},17
{'47'},17
{'1588'},17
{'3532'},17
{'3889'},17
{'2140'},17
{'2526'},17
{'1216'},17
{'2181'},17
{'3455'},17
{'1533'},17
{'666'},17
{'3526'},17
{'1132'},17
{'849'},17
{'953'},17
{'319'},17
{'3580'},17
{'3619'},17
{'412'},17
{'1314'},17
{'2417'},17
{'3474'},17
{'2266'},17
{'229'},16
{'2375'},16
{'2153'},16
{'23'},16
{'2208'},16
{'809'},16
{'771'},16
{'803'},16
{'7'},16
{'517'},16
{'140'},16
{'3286'},16
{'142'},16
{'1224'},16
{'132'},16
{'3134'},16
{'2477'},16
{'3456'},16
{'3569'},16
{'3710'},16
{'2747'},16
{'1539'},16
{'3251'},16
{'3920'},16
{'93'},16
{'2851'},16
{'3743'},16
{'1767'},16
{'1105'},16
{'1231'},16
{'3924'},16
{'1648'},16
{'628'},16
{'643'},16
{'216'},16
{'2579'},16
{'3460'},16
{'2667'},16
{'3690'},16
{'631'},16
{'2149'},16
{'3796'},16
{'231'},16
{'403'},16
{'3484'},16
{'2531'},16
{'8'},16
{'3919'},16
{'3523'},16
{'850'},16
{'2628'},16
{'2355'},16
{'1823'},16
{'73'},16
{'1007'},16
{'2735'},16
{'1621'},16
{'2532'},16
{'509'},16
{'374'},16
{'1595'},16
{'1593'},15
{'3250'},15
{'2382'},15
{'3368'},15
{'40'},15
{'2831'},15
{'1073'},15
{'510'},15
{'782'},15
{'2171'},15
{'1468'},15
{'521'},15
{'2573'},15
{'1259'},15
{'1912'},15
{'1443'},15
{'3648'},15
{'962'},15
{'1537'},15
{'1156'},15
{'274'},15
{'3163'},15
{'3878'},15
{'511'},15
{'3287'},15
{'3577'},15
{'1602'},15
{'981'},15
{'2168'},15
{'2101'},15
{'1247'},15
{'800'},15
{'738'},15
{'2538'},15
{'2191'},15
{'106'},15
{'1989'},15
{'1673'},15
{'1093'},15
{'2487'},15
{'1972'},15
{'2948'},15
{'3355'},15
{'2169'},15
{'1514'},15
{'555'},15
{'3591'},15
{'3315'},15
{'139'},15
{'3479'},15
{'3083'},15
{'1643'},15
{'2427'},15
{'1730'},15
{'1115'},15
{'2278'},15
{'1400'},15
{'2907'},15
{'2437'},15
{'1047'},15
{'1563'},15
{'1372'},15
{'2921'},15
{'2469'},15
"{'1484', '2561'}",15
{'1311'},14
{'1638'},14
{'3402'},14
{'443'},14
{'732'},14
{'3086'},14
{'3193'},14
{'3180'},14
{'2590'},14
{'3231'},14
{'604'},14
{'801'},14
{'2648'},14
{'241'},14
{'418'},14
{'1127'},14
{'2057'},14
{'870'},14
{'2563'},14
{'3293'},14
{'336'},14
{'353'},14
{'1957'},14
{'2941'},14
{'582'},14
{'908'},14
{'3129'},14
{'2731'},14
{'546'},14
{'2090'},14
{'570'},14
{'2840'},14
{'934'},14
{'2679'},14
{'989'},14
{'55'},14
{'1999'},14
{'3211'},14
{'1036'},14
{'783'},14
{'2647'},14
{'28'},14
{'2246'},14
{'3987'},14
{'2642'},14
{'990'},14
{'399'},14
{'2973'},14
{'879'},14
{'790'},14
{'227'},14
{'3723'},14
{'3883'},14
{'1828'},14
{'2544'},14
{'3740'},14
{'950'},14
{'3318'},14
{'3022'},14
{'3124'},14
{'3214'},14
{'1930'},14
{'3534'},14
{'2038'},14
{'2988'},14
{'1556'},14
{'2082'},14
{'1956'},14
{'3637'},14
{'1914'},14
{'3547'},14
{'135'},14
{'557'},14
{'3485'},14
{'3405'},14
{'49'},14
{'652'},14
{'1253'},14
{'2576'},14
{'1399'},14
{'3162'},14
{'2884'},14
{'1163'},14
{'1598'},14
{'2932'},14
{'826'},14
{'3556'},14
{'1990'},14
{'2855'},14
{'3078'},13
{'1512'},13
{'29'},13
{'1697'},13
{'3666'},13
{'1731'},13
{'1128'},13
{'2955'},13
{'2233'},13
{'3101'},13
{'3299'},13
{'3668'},13
{'2237'},13
{'1423'},13
{'891'},13
{'2303'},13
{'1037'},13
{'1386'},13
{'3830'},13
{'1679'},13
{'2705'},13
{'973'},13
{'3039'},13
{'3012'},13
{'3409'},13
{'3616'},13
{'697'},13
{'2372'},13
{'3110'},13
{'1009'},13
{'182'},13
{'859'},13
{'1562'},13
{'2652'},13
{'764'},13
{'2857'},13
{'3261'},13
{'2042'},13
{'1054'},13
{'1250'},13
{'1248'},13
{'2046'},13
{'1480'},13
{'2216'},13
{'2182'},13
{'299'},13
{'16'},13
{'3995'},13
{'1034'},13
{'109'},13
{'1125'},13
{'1071'},13
{'2170'},13
{'3822'},13
{'2631'},13
{'3578'},13
{'447'},13
{'1479'},13
{'283'},13
{'2319'},13
{'1923'},13
{'107'},13
{'3084'},13
{'878'},13
{'1864'},13
{'2843'},13
{'3618'},13
{'2961'},13
{'690'},13
{'2856'},13
{'805'},13
{'2612'},13
{'1709'},13
{'1316'},13
{'1121'},13
{'2894'},13
{'3281'},13
{'1075'},13
{'1900'},13
{'634'},13
{'1118'},13
{'167'},13
{'659'},13
{'3386'},13
{'2143'},13
{'2930'},13
{'1187'},13
{'3708'},13
{'112'},13
{'2555'},13
{'2872'},13
"{'1484', '953'}",13
"{'1484', '953', '3320'}",13
"{'1484', '953', '2561'}",13
"{'3320', '1484', '953', '2561'}",13
"{'953', '2561'}",13
"{'3320', '953', '2561'}",13
"{'953', '3320'}",13
"{'1484', '3320'}",13
"{'1484', '2561', '3320'}",13
"{'2561', '3320'}",13
{'2151'},12
{'2324'},12
{'459'},12
{'205'},12
{'845'},12
{'1072'},12
{'1341'},12
{'171'},12
{'2600'},12
{'1302'},12
{'62'},12
{'3379'},12
{'1427'},12
{'3414'},12
{'3065'},12
{'2519'},12
{'125'},12
{'894'},12
{'3288'},12
{'2214'},12
{'3982'},12
{'3881'},12
{'3477'},12
{'2564'},12
{'119'},12
{'3861'},12
{'2578'},12
{'1997'},12
{'3777'},12
{'2769'},12
{'946'},12
{'1582'},12
{'3800'},12
{'266'},12
{'59'},12
{'2630'},12
{'3003'},12
{'2392'},12
{'642'},12
{'1710'},12
{'95'},12
{'2929'},12
{'2288'},12
{'2764'},12
{'2284'},12
{'3467'},12
{'378'},12
{'3182'},12
{'2390'},12
{'2715'},12
{'90'},12
{'2126'},12
{'1916'},12
{'884'},12
{'2320'},12
{'3357'},12
{'705'},12
{'2013'},12
{'1195'},12
{'3595'},12
{'3748'},12
{'820'},12
{'2801'},12
{'170'},12
{'501'},12
{'917'},12
{'490'},12
{'3845'},12
{'2992'},12
{'3677'},12
{'1689'},12
{'2287'},12
{'409'},12
{'3300'},12
{'3073'},12
{'66'},12
{'583'},12
{'35'},12
{'3732'},12
{'598'},12
{'2468'},12
{'2826'},12
{'2142'},12
{'2308'},12
{'2449'},12
{'683'},12
{'2815'},12
{'829'},12
"{'1541', '2961'}",12
{'3262'},11
{'146'},11
{'387'},11
{'234'},11
{'2228'},11
{'613'},11
{'1991'},11
{'901'},11
{'3398'},11
{'1794'},11
{'3175'},11
{'1738'},11
{'2444'},11
{'3334'},11
{'1521'},11
{'877'},11
{'2695'},11
{'3295'},11
{'3145'},11
{'577'},11
{'625'},11
{'3444'},11
{'3249'},11
{'1317'},11
{'3759'},11
{'3601'},11
{'1469'},11
{'14'},11
{'2259'},11
{'3000'},11
{'1488'},11
{'3685'},11
{'3505'},11
{'3313'},11
{'3812'},11
{'837'},11
{'2910'},11
{'3646'},11
{'1594'},11
{'3910'},11
{'2585'},11
{'183'},11
{'3452'},11
{'2290'},11
{'1149'},11
{'3663'},11
{'2474'},11
{'3929'},11
{'1346'},11
{'947'},11
{'3059'},11
{'1180'},11
{'2741'},11
{'2716'},11
{'3839'},11
{'3169'},11
{'949'},11
{'3681'},11
{'3009'},11
{'1578'},11
{'1324'},11
{'3210'},11
{'1226'},11
{'2470'},11
{'3026'},11
{'3040'},11
{'991'},11
{'1466'},11
{'1629'},11
{'2883'},11
{'1561'},11
{'1336'},11
{'2516'},11
{'3617'},11
{'1795'},11
{'1880'},11
{'2197'},11
{'2189'},11
{'2179'},11
{'938'},11
{'3223'},11
{'2674'},11
{'931'},11
{'486'},11
{'3227'},11
{'1798'},11
{'2212'},11
{'485'},11
{'1265'},11
{'2199'},11
{'3885'},11
{'1536'},11
{'2694'},11
{'1583'},11
{'314'},11
{'516'},11
{'2574'},11
{'1196'},11
{'2041'},11
{'1159'},11
{'2362'},11
{'1775'},11
{'2611'},11
{'2407'},11
{'2439'},11
{'1656'},11
{'320'},11
{'673'},11
{'1268'},11
{'3307'},11
{'3253'},11
{'3557'},11
{'3143'},11
{'2024'},11
{'3087'},11
{'2110'},11
{'1396'},10
{'111'},10
{'679'},10
{'924'},10
{'787'},10
{'190'},10
{'667'},10
{'3821'},10
{'3089'},10
{'3647'},10
{'423'},10
{'1632'},10
{'2507'},10
{'1211'},10
{'993'},10
{'1393'},10
{'785'},10
{'684'},10
{'2034'},10
{'3680'},10
{'3925'},10
{'531'},10
{'482'},10
{'1373'},10
{'821'},10
{'1256'},10
{'1528'},10
{'3642'},10
{'519'},10
{'1589'},10
{'493'},10
{'913'},10
{'1592'},10
{'3625'},10
{'1787'},10
{'3458'},10
{'986'},10
{'233'},10
{'2569'},10
{'2689'},10
{'3023'},10
{'3901'},10
{'2051'},10
{'1627'},10
{'1609'},10
{'2924'},10
{'3834'},10
{'1605'},10
{'3501'},10
{'3338'},10
{'2114'},10
{'3626'},10
{'174'},10
{'2981'},10
{'905'},10
{'3996'},10
{'2123'},10
{'3441'},10
{'3581'},10
{'3445'},10
{'2062'},10
{'3513'},10
{'1976'},10
{'3990'},10
{'561'},10
{'2226'},10
{'3549'},10
{'3899'},10
{'537'},10
{'3745'},10
{'927'},10
{'3831'},10
{'1219'},10
{'2645'},10
{'1230'},10
{'2658'},10
{'2374'},10
{'2692'},10
{'2567'},10
{'2684'},10
{'1523'},10
{'2280'},10
{'1635'},10
{'17'},10
{'524'},10
{'2885'},10
{'1280'},10
{'3620'},10
{'39'},10
{'3171'},10
{'3041'},10
{'3632'},10
{'1445'},10
{'2071'},10
{'2882'},10
{'2360'},10
{'1478'},10
{'213'},10
{'3746'},10
{'3005'},10
{'1164'},10
{'344'},10
{'367'},10
{'723'},10
{'3220'},10
{'2870'},10
{'3292'},10
{'3699'},10
{'2190'},10
{'2384'},10
{'3607'},10
{'145'},10
{'2501'},10
{'242'},10
{'389'},10
{'1213'},10
{'653'},10
{'100'},10
{'2096'},10
{'1744'},10
{'3968'},10
"{'16', '553'}",10
"{'2427', '432'}",10
"{'3524', '3664'}",10
"{'662', '1145'}",10
"{'1952', '2227'}",10
